年龄段,性别,对产品满意度,使用频率,了解渠道,是否推荐给朋友
18-24岁,男,非常满意,每天,社交媒体,是
18-24岁,女,满意,每周,朋友推荐,是
25-34岁,男,一般,每月,搜索引擎,否
25-34岁,女,非常满意,每天,广告,是
35-44岁,男,满意,每周,社交媒体,是
35-44岁,女,不满意,每月,朋友推荐,否
45岁以上,男,一般,偶尔,搜索引擎,不确定
45岁以上,女,非常满意,每周,广告,是
18-24岁,男,满意,每天,社交媒体,是
25-34岁,女,非常满意,每天,朋友推荐,是
25-34岁,男,一般,每周,搜索引擎,不确定
35-44岁,女,满意,每月,社交媒体,是
18-24岁,女,不满意,偶尔,广告,否
45岁以上,男,满意,每周,朋友推荐,是
25-34岁,男,非常满意,每天,社交媒体,是
35-44岁,女,一般,每月,搜索引擎,否
18-24岁,男,满意,每周,朋友推荐,是
45岁以上,女,非常满意,偶尔,广告,是
25-34岁,女,满意,每天,社交媒体,是
35-44岁,男,不满意,每周,朋友推荐,否
18-24岁,女,非常满意,每月,搜索引擎,是
25-34岁,男,一般,每天,广告,不确定
35-44岁,女,满意,每周,社交媒体,是
45岁以上,男,非常满意,每月,朋友推荐,是
18-24岁,男,满意,每天,搜索引擎,是
25-34岁,女,不满意,每周,社交媒体,否
35-44岁,男,一般,每月,广告,不确定
45岁以上,女,满意,每天,朋友推荐,是
18-24岁,女,非常满意,每周,搜索引擎,是
25-34岁,男,满意,每天,社交媒体,是
